2013-06-08,8:00 AM,Brookside,,Woodview,,Lakeview West
2013-06-08,8:00 AM,Kedron 2,,Kedron 1,,Lakeview East
2013-06-08,8:00 AM,North Oshawa,,"""bye""",, 
2013-06-08,12:00 PM,North Oshawa,,Kedron 1,,Lakeview East
2013-06-08,12:00 PM,Woodview,,Kedron 2,,Lakeview West
2013-06-08,12:00 PM,Brookside,,"""bye""",,
2013-06-09,8:00 AM,North Oshawa,,Brookside,,Lakeview East
2013-06-09,8:00 AM,Woodview,,Kedron 1,,Lakeview West
2013-06-09,8:00 AM,Kedron 2,,"""bye""",,
2013-06-09,3:30 PM,1st Place,,2nd Place,,Lakeview Centre
