2013-06-15,8:00 AM,Kedron 1,, Kedron 3,,Lakeview Southwest
2013-06-15,9:00 AM,Connaught,, Kedron 2,,Lakeview Southwest
2013-06-15,10:00 AM,Baker,, Lake Vista,,Lakeview Southwest
2013-06-15,1:00 PM,Connaught,, Kedron 1,,Lakeview Southwest
2013-06-15,2:00 PM,Baker,, Kedron 2,,Lakeview Southwest
2013-06-15,3:00 PM,Lake Vista,, Kedron 3,,Lakeview Southwest
2013-06-16,8:00 AM,Kedron 1,, Lake Vista,,Lakeview Southwest
2013-06-16,9:00 AM,Kedron 3,, Kedron 2,,Lakeview Southwest
2013-06-16,10:00 AM,Baker,, Connaught,,Lakeview Southwest
2013-06-16,1:00 PM,1st Place,,2nd Place,,  Lakeview East
