2013-05-21,6:30 PM,Kedron 1,4,Connaught,3,Lakeview Southeast
2013-05-21,6:30 PM,Kedron 2,1,Baker,3,Lakeview Southwest
2013-05-21,6:30 PM,Kedron 3,0,Lake Vista,4,Lakeview East
2013-05-28,6:30 PM,Lake Vista,1,Kedron 1,3,Lakeview West
2013-05-28,6:30 PM,Kedron 2,4,Kedron 3,6,Lakeview Centre
2013-05-28,6:30 PM,Connaught,3,Baker,5,Lakeview East
2013-06-04,6:30 PM,Baker,4,Kedron 1,2,Lakeview East
2013-06-04,6:30 PM,Connaught,2,Kedron 3,2,Lakeview West
2013-06-04,6:30 PM,Kedron 2,1,Lake Vista,8,Lakeview Centre
2013-06-11,6:30 PM,Kedron 1,1,Kedron 2,0,Lakeview West
2013-06-11,6:30 PM,Baker,4,Kedron 3,3,Lakeview Centre
2013-06-11,6:30 PM,Connaught,1,Lake Vista,2,Lakeview East
2013-06-25,6:30 PM,Kedron 2,1,Kedron 1,5,Lakeview West
2013-06-25,6:30 PM,Kedron 3,3,Baker,6,Lakeview Centre
2013-06-25,6:30 PM,Lake Vista,1,Connaught,2,Lakeview East
2013-07-02,6:30 PM,Kedron 3,0,Kedron 1,6,Lakeview East
2013-07-02,6:30 PM,Kedron 2,2,Connaught,3,Lakeview Centre
2013-07-02,6:30 PM,Lake Vista,1,Baker,2,Lakeview West
2013-07-09,6:30 PM,Connaught,0,Kedron 1,3,Lakeview West
2013-07-09,6:30 PM,Baker,9,Kedron 2,1,Lakeview East
2013-07-09,6:30 PM,Kedron 3,5,Lake Vista,6,Lakeview Centre
2013-07-16,6:30 PM,Kedron 1,2,Lake Vista,1,Lakeview East
2013-07-16,6:30 PM,Kedron 2,3,Kedron 3,1,Lakeview West
2013-07-16,6:30 PM,Connaught,3,Baker,4,Lakeview Centre
2013-07-23,6:30 PM,Baker,0,Kedron 1,2,Lakeview West
2013-07-23,6:30 PM,Kedron 3,2,Connaught,2,Lakeview East
2013-07-23,6:30 PM,Lake Vista,5,Kedron 2,0,Lakeview Centre
2013-07-30,6:30 PM,Kedron 1,5,Kedron 2,0,Lakeview Centre
2013-07-30,6:30 PM,Baker,5,Kedron 3,4,Lakeview West
2013-07-30,6:30 PM,Connaught,4,Lake Vista,2,Lakeview East
2013-08-06,6:30 PM,Kedron 3,0,Kedron 1,7,Lakeview East
2013-08-06,6:30 PM,Kedron 2,1,Connaught,2,Lakeview West
2013-08-06,6:30 PM,Lake Vista,5,Baker,3,Lakeview Centre
2013-08-13,6:30 PM,Connaught,4,Kedron 1,7,Lakeview Centre
2013-08-13,6:30 PM,Baker,9,Kedron 2,0,Lakeview East
2013-08-13,6:30 PM,Kedron 3,1,Lake Vista,4,Lakeview West
2013-08-20,6:30 PM,Lake Vista,2,Kedron 1,1,Lakeview East
2013-08-20,6:30 PM,Kedron 2,5,Kedron 3,3,Lakeview Centre
2013-08-20,6:30 PM,Connaught,4,Baker,2,Lakeview West
2013-08-27,6:30 PM,Baker,,Kedron 1,,Lakeview Centre
2013-08-27,6:30 PM,Kedron 3,,Connaught,,Lakeview East
2013-08-27,6:30 PM,Lake Vista,,Kedron 2,,Lakeview West
